track,stage,model_name,display_name,augmentation,reused_existing_result,best_epoch,validation_accuracy,validation_f1,test_accuracy,test_f1,delta_test_f1_vs_reference
cnn,1,cnn_single_kernel,CNN 单卷积核基线,none,True,6,0.820572037662107,0.8139277818717761,0.8265582655826558,0.813953488372093,
cnn,2,cnn,TextCNN 多卷积核,none,True,6,0.8410019541659265,0.8377153218495014,0.8563685636856369,0.849002849002849,0.03504936063075592
cnn,3,textcnn_random_deletion,TextCNN + Random Deletion,random_deletion,True,2,0.8394030911351927,0.8405643738977072,0.8319783197831978,0.8296703296703298,-0.019332519332519116
cnn,3,textcnn_synonym_replacement,TextCNN + Synonym Replacement,synonym_replacement,True,3,0.8399360454787707,0.8407845909171231,0.8346883468834688,0.8310249307479225,-0.01797791825492645
cnn,3,textcnn_word_dropout,TextCNN + Word Dropout,word_dropout,True,6,0.8388701367916148,0.8423431253259169,0.8401084010840109,0.8392370572207085,-0.009765791782140432
rnn,1,birnn,BiRNN 基线,none,True,6,0.7697637235743471,0.7742946708463949,0.7804878048780488,0.7756232686980609,
rnn,2,bilstm,BiLSTM,none,True,14,0.8017409841890212,0.8026874115983026,0.8102981029810298,0.8055555555555556,0.029932286857494717
rnn,3,bilstm_attention,BiLSTM + Attention,none,True,2,0.7688754663350507,0.7844956104025178,0.7967479674796748,0.8010610079575596,-0.004494547597995946
